condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,3871,3871,0,11832.373,0.994,0.013,0.105,-0.002,83,94,51,73,27,13,47,51,0,0.000,0,0,0.094,0.006,0.040,0.060,0.060,-0.002,-0.036,1.001,0.006,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3871,3871,0,11837.375,0.994,0.013,0.105,-0.002,79,93,59,71,31,20,45,45,0,0.000,0,0,0.094,0.006,0.040,0.060,0.060,-0.005,-0.035,1.000,0.006,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3871,3871,0,11842.373,0.994,0.013,0.105,-0.002,57,95,82,42,55,21,73,21,0,0.000,0,0,0.094,0.008,0.040,-0.060,0.060,-0.004,-0.037,1.001,-0.008,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3901,3901,0,11847.373,0.994,0.013,0.105,-0.002,57,97,85,41,57,25,74,23,0,0.000,0,0,0.040,0.008,0.040,0.000,0.000,-0.003,-0.036,1.000,-0.008,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3901,3901,0,11852.373,0.994,0.013,0.105,-0.002,72,76,67,71,31,3,45,45,0,0.000,0,0,0.040,0.008,0.040,0.000,0.000,-0.004,-0.036,1.001,-0.008,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3901,3901,0,11857.373,0.994,0.013,0.105,-0.002,53,92,83,43,55,21,73,23,0,0.000,0,0,0.072,0.003,0.040,0.060,0.000,-0.004,-0.036,1.001,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3901,3901,0,11862.373,0.994,0.013,0.105,-0.002,82,78,62,72,35,5,46,47,0,0.000,0,0,0.040,0.003,0.040,0.000,0.000,-0.003,-0.037,1.000,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3909,3909,0,11867.373,0.994,0.013,0.105,-0.002,78,91,57,69,30,19,43,43,0,0.000,0,0,0.094,0.003,0.040,0.060,0.060,-0.003,-0.037,1.000,0.002,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3909,3909,0,11872.373,0.994,0.013,0.105,-0.002,55,72,91,70,45,19,77,52,0,0.000,0,0,0.072,0.003,0.040,0.000,0.060,-0.004,-0.036,1.000,0.002,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3920,3920,0,11877.373,0.994,0.013,0.105,-0.002,51,75,88,45,41,7,73,40,0,0.000,0,0,0.087,0.003,-0.020,-0.060,0.060,-0.004,-0.036,1.001,-0.002,0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3920,3920,0,11882.373,0.994,0.013,0.105,-0.002,81,77,67,70,35,5,45,47,0,0.000,0,0,0.087,0.003,-0.020,0.060,0.060,-0.004,-0.037,1.001,-0.002,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3952,3952,0,11887.373,0.994,0.013,0.105,-0.002,57,98,85,44,57,25,75,24,0,0.000,0,0,0.094,0.003,0.040,0.060,0.060,-0.004,-0.037,1.001,-0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3952,3952,0,11892.373,0.994,0.013,0.105,-0.002,74,75,63,72,35,5,47,47,0,0.000,0,0,0.072,0.006,0.040,0.000,0.060,-0.002,-0.037,1.000,-0.002,-0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3952,3952,0,11897.373,0.994,0.013,0.105,-0.002,73,73,61,71,30,19,43,45,0,0.000,0,0,0.117,0.003,-0.080,-0.060,0.060,-0.003,-0.037,1.000,0.002,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3952,3952,0,11902.374,0.994,0.013,0.105,-0.002,55,71,88,73,39,11,56,47,0,0.000,0,0,0.094,0.003,0.040,-0.060,0.060,-0.004,-0.037,1.001,0.002,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3952,3952,0,11907.373,0.994,0.013,0.105,-0.002,52,72,92,44,43,13,75,41,0,0.000,0,0,0.045,0.003,0.040,0.000,-0.020,-0.003,-0.038,1.001,0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
