condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,3471,3471,0,2928967.087,0.416,0.267,-0.131,-0.859,3176,39,98,3087,4095,1384,41,1256,58,0.000,1903,1,5.098,0.099,-4.600,1.440,1.660,-0.569,-0.009,0.825,0.058,0.080,0.034,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1028,1214
stim,3471,3471,0,2928972.087,0.416,0.268,-0.131,-0.859,3191,41,93,3087,4095,1383,36,1257,58,0.000,1903,1,4.624,0.109,-4.180,1.740,0.940,-0.572,-0.014,0.823,0.058,0.092,0.006,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1033,1214
stim,3471,3471,0,2928977.087,0.416,0.268,-0.131,-0.859,3182,45,96,3077,4095,1381,38,1258,58,0.000,1903,1,4.583,0.112,-4.120,1.740,1.000,-0.578,-0.007,0.826,0.064,0.092,0.006,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1038,1214
stim,3471,3471,0,2928982.087,0.416,0.268,-0.131,-0.859,3179,40,93,3081,4095,1383,29,1247,58,0.000,1903,1,4.396,0.100,-3.680,1.680,1.720,-0.579,-0.011,0.830,0.084,0.054,0.062,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1043,1214
stim,3487,3487,0,2928987.087,0.416,0.268,-0.131,-0.859,3173,43,95,3079,4095,1379,37,1253,58,0.000,1903,1,4.015,0.084,-2.960,1.560,2.220,-0.574,-0.011,0.828,0.064,0.054,0.062,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1048,1214
stim,3487,3487,0,2928992.087,0.416,0.268,-0.131,-0.859,3191,40,99,3080,4095,1373,24,1243,58,0.000,1903,1,3.894,0.093,-2.760,1.440,2.340,-0.571,-0.010,0.823,0.064,0.068,0.054,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1053,1214
stim,3504,3504,0,2928997.087,0.416,0.268,-0.130,-0.859,3183,41,107,3081,4095,1377,25,1242,58,0.000,1903,1,3.786,0.083,-2.740,1.500,2.140,-0.571,-0.003,0.824,0.048,0.068,0.006,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1058,1214
stim,3504,3504,0,2929002.087,0.415,0.268,-0.130,-0.859,3193,39,105,3067,4095,1367,19,1238,58,0.000,1903,1,3.612,0.035,-2.440,1.500,2.200,-0.571,0.003,0.823,-0.006,0.034,-0.002,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1063,1214
stim,3535,3535,0,2929007.087,0.415,0.268,-0.130,-0.859,3171,43,97,3078,4095,1365,13,1239,58,0.000,1903,1,3.569,0.052,-2.260,1.500,2.320,-0.570,0.005,0.821,-0.050,-0.016,-0.002,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1068,1214
stim,3535,3535,0,2929012.087,0.415,0.268,-0.130,-0.859,3173,45,93,3083,4095,1363,4,1236,58,0.000,1903,1,3.113,0.058,-2.140,1.420,1.760,-0.570,0.004,0.819,-0.052,-0.026,-0.026,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1073,1214
stim,3535,3535,0,2929017.087,0.415,0.269,-0.130,-0.859,3181,42,103,3069,4095,1365,3,1237,58,0.000,1903,1,2.351,0.068,-1.760,1.300,0.860,-0.572,0.006,0.821,-0.062,-0.028,-0.026,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1078,1214
stim,3535,3535,0,2929022.088,0.415,0.269,-0.130,-0.859,3175,40,100,3075,4095,1357,5,1230,58,0.000,1903,1,1.698,0.077,-1.220,1.180,0.060,-0.575,0.014,0.819,-0.062,-0.046,-0.014,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1083,1214
stim,3535,3535,0,2929027.087,0.415,0.269,-0.131,-0.859,3181,43,97,3068,4095,1351,0,1224,58,0.000,1903,1,1.295,0.153,-0.720,0.880,-0.620,-0.575,0.019,0.815,-0.102,-0.114,-0.014,0.000,0.000,1.055,1.031,3,3,0,3,7,255,1214,250,1088,1214
stim,3535,3535,1,2929032.087,0.415,0.269,-0.131,-0.859,3191,43,107,3065,4095,1339,0,1227,58,0.000,1903,1,1.560,0.198,-0.780,0.580,-1.220,-0.571,0.022,0.815,-0.124,-0.154,-0.038,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1093,1214
stim,3551,3551,1,2929037.087,0.415,0.269,-0.131,-0.859,3175,56,109,3063,4095,1341,0,1224,58,0.000,1903,1,2.442,0.226,-0.860,0.340,-2.260,-0.568,0.022,0.813,-0.166,-0.154,-0.062,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1098,1214
stim,3551,3551,1,2929042.087,0.415,0.268,-0.131,-0.859,3177,57,86,3053,4095,1351,0,1231,58,0.000,1903,1,3.669,0.217,-1.160,0.080,-3.480,-0.568,0.020,0.814,-0.166,-0.140,-0.088,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1103,1214
stim,3551,3551,1,2929047.087,0.416,0.268,-0.131,-0.859,3175,57,102,3063,4095,1338,0,1228,58,0.000,1903,1,4.736,0.193,-1.260,-0.220,-4.560,-0.570,0.017,0.816,-0.154,-0.116,-0.088,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1108,1214
stim,3551,3551,1,2929052.087,0.416,0.268,-0.131,-0.859,3175,57,106,3051,4095,1340,0,1226,58,0.000,1903,1,5.438,0.168,-1.380,-0.460,-5.240,-0.570,0.014,0.817,-0.130,-0.106,-0.054,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1113,1214
stim,3551,3551,1,2929057.087,0.416,0.268,-0.131,-0.859,3167,57,112,3055,4095,1341,0,1235,58,0.000,1903,1,5.687,0.135,-1.620,-0.580,-5.420,-0.570,0.010,0.818,-0.110,-0.078,-0.048,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1118,1214
