condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,92624,92624,0,956603.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,43,415,19,0.000,225,0,3.390,0.055,1.880,2.820,0.080,0.036,0.001,1.000,0.008,0.054,-0.020,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92624,92624,0,956608.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,43,413,19,0.000,225,0,3.340,0.063,1.880,2.760,0.080,0.036,0.001,1.000,0.008,0.062,-0.020,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92624,92624,0,956613.411,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,37,417,19,0.000,225,0,3.362,0.062,1.820,2.820,0.200,0.035,0.001,0.999,0.006,0.062,-0.020,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92640,92640,0,956618.410,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,41,411,19,0.000,225,0,3.312,0.064,1.820,2.760,0.200,0.036,0.001,0.999,0.008,0.064,-0.026,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92640,92640,0,956623.410,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,42,403,19,0.000,225,0,3.316,0.059,1.820,2.760,0.260,0.036,0.000,1.000,0.008,0.058,-0.026,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92640,92640,0,956628.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,37,407,19,0.000,225,0,3.345,0.061,1.880,2.760,0.200,0.036,0.001,0.998,0.008,0.060,-0.030,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92640,92640,0,956633.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,38,415,19,0.000,225,0,3.316,0.060,1.820,2.760,0.260,0.036,0.000,0.999,0.016,0.058,-0.026,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92640,92640,0,956638.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,38,411,19,0.000,225,0,3.366,0.060,1.820,2.820,0.260,0.036,0.000,0.999,0.016,0.058,-0.030,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92640,92640,0,956643.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,39,407,19,0.000,225,0,3.350,0.060,1.880,2.760,0.260,0.036,0.000,0.999,0.016,0.058,-0.026,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92656,92656,0,956648.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,41,408,19,0.000,225,0,3.395,0.064,1.880,2.820,0.200,0.036,0.000,0.998,0.016,0.062,-0.030,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92656,92656,0,956653.411,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,38,408,19,0.000,225,0,3.350,0.064,1.880,2.760,0.260,0.037,0.000,0.998,0.016,0.062,-0.034,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92671,92671,0,956658.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,40,403,19,0.000,225,0,3.482,0.070,1.940,2.880,0.260,0.037,0.000,0.998,0.018,0.068,-0.034,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,92671,92671,0,956663.409,-0.759,0.221,-0.016,0.612,0,0,0,0,0,0,37,407,19,0.000,225,0,3.449,0.071,1.880,2.880,0.260,0.036,-0.001,0.999,0.022,0.068,-0.034,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,3,7,255,,250,0,0
