condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,38687,38687,0,414682.373,0.994,0.016,0.106,-0.007,48,78,37,33,58,1,47,5,0,0.000,0,0,0.104,0.000,-0.060,-0.060,-0.060,-0.003,-0.041,1.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38703,38703,0,414687.373,0.994,0.016,0.106,-0.007,46,62,73,37,35,0,61,16,0,0.000,0,0,0.136,0.000,-0.120,0.020,-0.060,-0.004,-0.042,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38703,38703,0,414692.373,0.994,0.016,0.106,-0.007,46,65,79,38,23,1,61,35,0,0.000,0,0,0.136,0.000,-0.120,0.020,-0.060,-0.004,-0.041,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38703,38703,0,414697.374,0.994,0.016,0.106,-0.007,76,86,53,62,22,6,37,40,0,0.000,0,0,0.063,0.007,-0.060,0.020,0.000,-0.004,-0.042,1.002,-0.006,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38703,38703,0,414702.373,0.994,0.016,0.106,-0.007,73,87,53,41,27,1,55,16,0,0.000,0,0,0.063,0.006,-0.060,0.020,0.000,-0.004,-0.041,1.000,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38719,38719,0,414707.373,0.994,0.016,0.106,-0.007,50,61,77,41,21,0,59,37,0,0.000,0,0,0.134,0.007,-0.120,-0.060,0.000,-0.004,-0.042,1.000,-0.006,-0.004,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38719,38719,0,414712.373,0.994,0.016,0.106,-0.007,40,55,73,57,24,0,33,33,0,0.000,0,0,0.136,0.004,-0.120,0.020,-0.060,-0.003,-0.042,1.000,0.000,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38719,38719,0,414717.373,0.994,0.016,0.106,-0.007,75,87,55,69,41,7,39,25,0,0.000,0,0,0.063,0.006,0.000,0.020,-0.060,-0.003,-0.041,1.000,0.004,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38719,38719,0,414722.373,0.994,0.016,0.106,-0.007,51,77,71,35,29,1,57,7,0,0.000,0,0,0.087,0.004,-0.060,0.020,-0.060,-0.003,-0.041,1.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38735,38735,0,414727.373,0.994,0.016,0.106,-0.007,51,62,77,59,20,0,43,41,0,0.000,0,0,0.085,0.007,-0.060,-0.060,0.000,-0.004,-0.041,1.001,0.004,0.006,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38735,38735,0,414732.373,0.994,0.016,0.106,-0.007,75,87,53,59,41,0,39,21,0,0.000,0,0,0.087,0.000,-0.060,0.020,-0.060,-0.005,-0.041,1.001,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38767,38767,0,414737.373,0.994,0.016,0.106,-0.007,69,71,53,59,17,0,35,39,0,0.000,0,0,0.085,0.010,-0.060,-0.060,0.000,-0.005,-0.041,1.000,-0.010,0.000,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38767,38767,0,414742.373,0.994,0.016,0.106,-0.007,46,73,75,39,41,9,61,16,0,0.000,0,0,0.122,0.010,-0.120,0.020,0.000,-0.004,-0.042,1.000,-0.010,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38807,38807,0,414747.373,0.994,0.016,0.106,-0.007,72,89,53,57,43,5,41,15,0,0.000,0,0,0.063,0.008,-0.060,0.020,0.000,-0.003,-0.042,1.000,0.000,-0.008,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38807,38807,0,414752.373,0.994,0.016,0.106,-0.007,57,77,46,27,26,1,43,8,0,0.000,0,0,0.085,0.008,-0.060,-0.060,0.000,-0.005,-0.041,1.000,0.000,-0.008,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38807,38807,0,414757.375,0.994,0.016,0.106,-0.007,56,87,54,62,22,6,39,43,0,0.000,0,0,0.085,0.004,-0.060,-0.060,0.000,-0.003,-0.041,1.001,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38807,38807,0,414762.373,0.994,0.016,0.106,-0.007,47,60,82,43,27,0,67,42,0,0.000,0,0,0.122,0.000,-0.120,0.020,0.000,-0.004,-0.040,1.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38807,38807,0,414767.373,0.994,0.016,0.106,-0.007,63,77,43,38,31,0,29,5,0,0.000,0,0,0.087,0.004,-0.060,0.020,-0.060,-0.004,-0.041,0.999,0.000,0.004,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,38807,38807,0,414772.373,0.994,0.016,0.106,-0.007,73,88,57,39,41,2,59,13,0,0.000,0,0,0.134,0.010,-0.120,-0.060,0.000,-0.003,-0.040,1.000,0.000,0.010,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
