condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,3807,3807,0,87901.369,0.994,0.087,0.010,-0.073,3149,521,1708,3557,1112,1381,431,4095,42,0.000,4,1,10.872,0.167,-9.100,5.040,-3.160,-0.203,-0.198,0.966,0.100,-0.134,-0.062,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,350,1728
stim,3807,3807,0,87906.369,0.993,0.087,0.010,-0.073,3159,520,1703,3561,1157,1425,429,4095,42,0.000,4,1,9.780,0.215,-7.800,5.020,-3.100,-0.218,-0.208,0.977,-0.034,-0.212,0.012,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,355,1728
stim,3807,3807,0,87911.369,0.993,0.088,0.010,-0.073,3171,557,1646,3567,1126,1462,428,4095,42,0.000,4,1,7.925,0.194,-6.320,4.520,-1.560,-0.224,-0.195,0.972,-0.140,-0.134,0.106,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,360,1728
stim,3807,3807,0,87916.370,0.993,0.088,0.010,-0.073,3167,553,1639,3562,1104,1419,429,4095,42,0.000,4,1,7.213,0.246,-5.520,4.400,1.480,-0.223,-0.201,0.969,-0.198,-0.146,0.106,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,365,1728
stim,3807,3807,0,87921.370,0.993,0.088,0.009,-0.073,3168,599,1613,3565,1099,1424,427,4095,42,0.000,4,1,5.985,0.219,-4.100,3.600,2.460,-0.203,-0.198,0.972,-0.198,-0.094,0.086,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,370,1728
stim,3809,3809,0,87926.369,0.993,0.089,0.009,-0.073,3183,554,1597,3551,1109,1430,423,4095,42,0.000,4,1,6.403,0.090,-4.400,4.560,0.920,-0.192,-0.196,0.958,0.000,-0.090,0.064,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,375,1728
stim,3809,3809,0,87931.369,0.993,0.089,0.009,-0.073,3173,568,1580,3568,1093,1439,439,4095,42,0.000,4,1,5.302,0.080,-4.200,3.220,0.320,-0.206,-0.195,0.963,0.000,-0.080,-0.018,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,380,1728
stim,3809,3809,0,87936.369,0.993,0.089,0.009,-0.073,3176,615,1603,3565,1095,1431,427,4095,42,0.000,4,1,7.145,0.108,-5.540,4.180,-1.700,-0.194,-0.203,0.962,0.072,-0.080,-0.034,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,385,1728
stim,3809,3809,0,87941.369,0.993,0.089,0.009,-0.073,3191,609,1573,3562,1105,1395,419,4095,42,0.000,4,1,5.411,0.081,-4.180,3.020,-1.640,-0.212,-0.196,0.968,-0.044,-0.068,-0.018,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,390,1728
stim,3810,3810,0,87946.369,0.993,0.090,0.009,-0.073,3182,600,1545,3559,1097,1399,445,4095,42,0.000,4,1,5.397,0.113,-4.000,3.620,-0.160,-0.220,-0.180,0.970,-0.096,-0.060,0.044,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,395,1728
stim,3810,3810,0,87951.369,0.993,0.090,0.009,-0.073,3193,609,1527,3569,1069,1421,440,4095,42,0.000,4,1,5.323,0.098,-4.720,2.460,0.020,-0.194,-0.193,0.962,-0.096,-0.022,0.044,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,400,1728
stim,3811,3811,0,87956.369,0.993,0.090,0.009,-0.073,3183,613,1547,3575,1076,1349,435,4095,42,0.000,4,1,5.290,0.077,-3.800,3.360,-1.500,-0.187,-0.202,0.961,0.074,-0.022,-0.054,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,405,1728
stim,3811,3811,0,87961.369,0.993,0.090,0.009,-0.073,3183,601,1547,3552,1083,1363,457,4095,42,0.000,4,1,5.228,0.077,-3.780,3.120,-1.820,-0.208,-0.188,0.959,0.074,-0.022,-0.056,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,410,1728
stim,3839,3839,0,87966.369,0.993,0.090,0.008,-0.073,3191,603,1515,3576,1077,1381,437,4095,42,0.000,4,1,4.852,0.073,-3.220,3.600,-0.460,-0.212,-0.188,0.971,-0.072,0.014,-0.056,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,415,1728
stim,3839,3839,0,87971.369,0.993,0.091,0.008,-0.073,3192,605,1517,3568,1091,1355,427,4095,42,0.000,4,1,5.754,0.080,-4.440,3.220,-1.740,-0.189,-0.185,0.956,-0.072,0.036,-0.056,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,420,1728
