condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,25391,25391,0,55960.829,0.977,-0.119,-0.174,0.012,3193,0,0,1313,0,73,29,214,0,0.000,0,0,0.082,0.006,-0.080,0.000,-0.020,-0.282,0.039,0.961,0.000,0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,754,0
pre_stim,25391,25391,0,55965.827,0.977,-0.119,-0.174,0.012,3203,0,0,1310,0,62,41,218,0,0.000,0,0,0.113,0.007,-0.080,0.000,-0.080,-0.281,0.040,0.960,-0.004,0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,759,0
pre_stim,25391,25391,0,55970.829,0.977,-0.119,-0.174,0.012,3208,0,0,1311,0,64,35,219,0,0.000,0,0,0.198,0.004,-0.140,0.000,-0.140,-0.281,0.039,0.962,-0.004,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,764,0
pre_stim,25391,25391,0,55975.827,0.977,-0.119,-0.174,0.012,3193,0,0,1314,0,71,30,214,0,0.000,0,0,0.113,0.006,-0.080,0.000,-0.080,-0.281,0.040,0.962,0.002,0.006,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,769,0
pre_stim,25407,25407,0,55980.829,0.977,-0.119,-0.174,0.012,3187,0,0,1299,0,63,29,213,0,0.000,0,0,0.224,0.002,-0.200,0.060,-0.080,-0.281,0.038,0.961,0.002,0.000,0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,774,0
pre_stim,25407,25407,0,55985.827,0.977,-0.119,-0.174,0.012,3195,0,0,1303,0,55,38,217,0,0.000,0,0,0.244,0.006,-0.200,0.000,-0.140,-0.281,0.040,0.961,0.002,0.006,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,779,0
pre_stim,25407,25407,0,55990.829,0.977,-0.119,-0.174,0.012,3198,0,0,1298,0,57,31,214,0,0.000,0,0,0.289,0.004,-0.200,0.060,-0.200,-0.282,0.039,0.961,-0.002,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,784,0
pre_stim,25407,25407,0,55995.827,0.977,-0.119,-0.174,0.012,3194,0,0,1299,0,60,38,216,0,0.000,0,0,0.333,0.006,-0.200,0.060,-0.260,-0.281,0.038,0.961,0.004,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,789,0
pre_stim,25423,25423,0,56000.829,0.977,-0.119,-0.174,0.012,3190,0,0,1298,0,69,30,212,0,0.000,0,0,0.289,0.009,-0.200,0.060,-0.200,-0.280,0.038,0.961,0.004,-0.008,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,794,0
pre_stim,25423,25423,0,56005.827,0.977,-0.119,-0.174,0.012,3193,0,0,1289,0,59,29,214,0,0.000,0,0,0.289,0.009,-0.200,0.060,-0.200,-0.281,0.039,0.962,0.004,-0.008,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,799,0
pre_stim,25423,25423,0,56010.829,0.977,-0.119,-0.174,0.012,3197,0,0,1279,0,61,40,217,0,0.000,0,0,0.244,0.007,-0.200,0.000,-0.140,-0.280,0.039,0.961,0.006,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,804,0
pre_stim,25423,25423,0,56015.827,0.977,-0.119,-0.174,0.012,3207,0,0,1271,0,61,38,219,0,0.000,0,0,0.244,0.006,-0.200,0.000,-0.140,-0.281,0.038,0.961,0.004,-0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,809,0
pre_stim,25439,25439,0,56020.829,0.977,-0.119,-0.174,0.012,3205,0,0,1238,0,69,31,219,0,0.000,0,0,0.207,0.007,-0.140,0.060,-0.140,-0.280,0.039,0.962,0.006,-0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,814,0
pre_stim,25439,25439,0,56025.827,0.977,-0.119,-0.174,0.012,3209,0,0,1265,0,61,31,215,0,0.000,0,0,0.185,0.011,-0.140,0.120,-0.020,-0.280,0.040,0.961,0.010,-0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,819,0
pre_stim,25455,25455,0,56030.829,0.977,-0.119,-0.174,0.012,3209,0,0,1311,0,53,29,215,0,0.000,0,0,0.128,0.012,-0.080,0.060,-0.080,-0.283,0.040,0.962,0.010,0.006,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,824,0
pre_stim,25455,25455,0,56035.827,0.977,-0.119,-0.174,0.012,3213,0,0,1315,0,61,29,218,0,0.000,0,0,0.102,0.008,-0.080,0.060,-0.020,-0.282,0.039,0.961,-0.006,0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,829,0
