condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,2415,2415,0,905121.816,0.859,-0.081,-0.082,-0.499,83,97,67,51,43,0,43,15,0,0.000,0,0,0.045,0.006,0.000,0.020,-0.040,0.002,0.026,1.004,-0.002,-0.006,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2415,2415,0,905126.816,0.859,-0.081,-0.082,-0.499,53,92,69,43,26,0,56,31,0,0.000,0,0,0.028,0.006,0.000,0.020,0.020,0.003,0.026,1.001,0.000,-0.006,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2431,2431,0,905131.816,0.859,-0.081,-0.082,-0.499,50,63,89,75,23,0,53,45,0,0.000,0,0,0.045,0.000,0.000,0.020,-0.040,0.003,0.026,1.002,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2431,2431,0,905136.816,0.859,-0.081,-0.082,-0.499,86,99,64,77,23,0,51,47,0,0.000,0,0,0.057,0.000,0.000,-0.040,-0.040,0.003,0.027,1.003,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2431,2431,0,905141.816,0.859,-0.081,-0.082,-0.499,78,77,79,77,53,0,71,51,0,0.000,0,0,0.028,0.000,0.000,0.020,0.020,0.003,0.025,1.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2431,2431,0,905146.816,0.859,-0.081,-0.082,-0.499,82,81,74,73,21,0,51,40,0,0.000,0,0,0.057,0.000,0.000,-0.040,-0.040,0.003,0.026,1.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2447,2447,0,905151.816,0.859,-0.081,-0.082,-0.499,83,103,61,73,44,8,43,21,0,0.000,0,0,0.045,0.000,0.000,0.020,-0.040,0.003,0.027,1.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2447,2447,0,905156.816,0.859,-0.081,-0.082,-0.499,83,69,89,71,28,0,48,53,0,0.000,0,0,0.028,0.006,0.000,0.020,0.020,0.002,0.027,1.003,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2479,2479,0,905161.816,0.859,-0.081,-0.082,-0.499,77,73,85,61,23,0,42,45,0,0.000,0,0,0.092,0.010,0.080,0.020,-0.040,0.004,0.026,1.003,-0.006,0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2479,2479,0,905166.816,0.859,-0.081,-0.082,-0.499,48,79,83,43,25,0,75,42,0,0.000,0,0,0.028,0.004,0.000,0.020,0.020,0.003,0.026,1.003,0.004,-0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
