condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,2262,2262,0,218994.822,0.995,-0.092,-0.020,0.010,59,93,55,38,39,0,56,13,0,0.000,0,0,0.060,0.006,0.000,-0.060,0.000,-0.017,0.073,1.000,0.004,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2263,2263,0,218999.823,0.995,-0.092,-0.020,0.010,45,74,90,46,23,0,71,30,0,0.000,0,0,0.120,0.004,0.120,0.000,0.000,-0.018,0.073,1.000,0.000,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2263,2263,0,219004.822,0.995,-0.092,-0.020,0.010,57,71,93,78,43,4,70,53,0,0.000,0,0,0.100,0.004,0.060,0.000,-0.080,-0.019,0.071,1.000,0.000,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2291,2291,0,219009.823,0.995,-0.092,-0.020,0.010,77,92,51,39,41,0,40,12,0,0.000,0,0,0.085,0.002,0.060,0.000,0.060,-0.018,0.073,0.999,0.000,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2291,2291,0,219014.823,0.995,-0.092,-0.020,0.010,57,69,87,33,53,5,77,18,0,0.000,0,0,0.060,0.002,0.060,0.000,0.000,-0.018,0.073,0.999,0.000,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2293,2293,0,219019.823,0.995,-0.092,-0.020,0.010,79,68,71,75,24,0,53,47,0,0.000,0,0,0.085,0.002,0.060,-0.060,0.000,-0.018,0.073,0.999,0.000,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2293,2293,0,219024.822,0.995,-0.092,-0.020,0.010,60,71,89,43,44,2,71,39,0,0.000,0,0,0.085,0.002,0.060,0.000,0.060,-0.018,0.073,1.000,0.000,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2295,2295,0,219029.823,0.995,-0.092,-0.020,0.010,69,95,61,39,41,4,63,24,0,0.000,0,0,0.060,0.002,0.060,0.000,0.000,-0.018,0.073,1.000,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2295,2295,0,219034.821,0.995,-0.092,-0.020,0.010,51,59,89,56,23,0,71,31,0,0.000,0,0,0.000,0.004,0.000,0.000,0.000,-0.019,0.072,1.000,0.000,-0.004,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2319,2319,0,219039.823,0.995,-0.092,-0.020,0.010,53,70,87,41,41,0,69,37,0,0.000,0,0,0.060,0.004,0.060,0.000,0.000,-0.018,0.073,1.000,0.000,-0.004,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2319,2319,0,219044.822,0.995,-0.092,-0.020,0.010,90,105,57,75,17,0,45,43,0,0.000,0,0,0.144,0.007,0.120,0.000,-0.080,-0.019,0.073,1.000,-0.006,-0.004,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2319,2319,0,219049.823,0.995,-0.092,-0.020,0.010,48,70,83,41,25,0,70,39,0,0.000,0,0,0.060,0.006,0.060,0.000,0.000,-0.019,0.073,0.999,-0.006,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2319,2319,0,219054.821,0.995,-0.092,-0.020,0.010,68,69,89,62,23,0,49,50,0,0.000,0,0,0.000,0.006,0.000,0.000,0.000,-0.018,0.073,1.000,-0.006,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2336,2336,0,219059.823,0.995,-0.092,-0.020,0.010,88,92,57,72,35,0,39,27,0,0.000,0,0,0.100,0.002,0.000,-0.060,-0.080,-0.018,0.073,1.000,0.000,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2336,2336,0,219064.823,0.995,-0.092,-0.020,0.010,99,99,59,53,45,5,51,30,0,0.000,0,0,0.080,0.002,0.000,0.000,-0.080,-0.018,0.073,1.000,0.000,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2351,2351,0,219069.823,0.995,-0.092,-0.020,0.010,55,71,89,43,46,6,73,39,0,0.000,0,0,0.060,0.002,0.060,0.000,0.000,-0.017,0.072,1.000,0.000,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2351,2351,0,219074.823,0.995,-0.092,-0.020,0.010,119,105,59,45,14,0,44,17,0,0.000,0,0,0.060,0.002,0.060,0.000,0.000,-0.018,0.073,0.999,0.000,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2351,2351,0,219079.823,0.995,-0.092,-0.020,0.010,79,69,83,70,16,0,45,45,0,0.000,0,0,0.060,0.002,0.060,0.000,0.000,-0.019,0.073,0.999,0.000,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2351,2351,0,219084.821,0.995,-0.092,-0.020,0.010,79,72,87,73,18,0,47,45,0,0.000,0,0,0.120,0.002,0.120,0.000,0.000,-0.018,0.074,1.000,0.000,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2351,2351,0,219089.823,0.995,-0.092,-0.020,0.010,83,73,53,70,14,0,33,53,0,0.000,0,0,0.100,0.007,0.060,0.000,-0.080,-0.019,0.074,1.000,-0.004,0.006,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,2351,2351,0,219094.822,0.995,-0.092,-0.020,0.010,91,97,55,51,39,8,43,23,0,0.000,0,0,0.100,0.006,0.000,0.060,-0.080,-0.018,0.073,1.000,0.000,0.006,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
