condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,2879,13551,0,6841527.087,0.542,-0.010,0.062,0.838,0,0,2165,0,4095,1,1195,4095,5,0.890,2897,0,171.626,4.062,-44.800,-165.180,-12.800,-0.422,0.337,1.540,2.338,3.322,4.100,0.092,0.068,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2879,13551,0,6841532.087,0.541,-0.003,0.065,0.839,0,0,2077,0,4095,0,1135,4095,5,0.890,2897,0,183.625,5.141,-34.120,-179.960,-12.980,-0.503,0.339,1.676,3.368,3.884,5.330,0.100,0.076,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2896,13568,0,6841537.088,0.540,0.005,0.069,0.839,0,0,2071,0,4095,6,1113,4095,5,0.890,2897,0,197.922,5.964,-27.640,-195.820,-7.980,-0.547,0.234,1.607,3.368,4.922,5.592,0.108,0.084,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2896,13568,0,6841542.087,0.539,0.014,0.073,0.839,0,0,2031,0,4095,0,1079,4095,5,0.890,2897,0,216.929,6.699,-34.900,-214.020,-5.960,-0.550,0.095,1.635,3.220,5.874,5.592,0.114,0.092,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2896,13568,0,6841547.087,0.538,0.023,0.077,0.839,0,0,2011,0,4095,10,1033,4095,5,0.890,2897,0,233.737,7.059,-32.760,-231.400,-3.700,-0.516,-0.029,1.739,2.148,6.724,5.592,0.120,0.098,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2896,13568,0,6841552.087,0.537,0.033,0.082,0.839,0,0,1968,0,2079,6,987,4095,5,0.890,2897,0,251.101,7.436,-22.140,-249.960,-9.020,-0.518,-0.030,1.749,1.242,7.332,6.302,0.128,0.106,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2911,13583,0,6841557.087,0.535,0.043,0.088,0.839,0,0,1919,0,2039,9,960,4095,5,0.890,2897,0,270.435,7.774,-22.340,-268.820,-19.280,-0.592,0.080,1.727,1.242,7.674,6.302,0.134,0.114,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2911,13583,0,6841562.087,0.533,0.054,0.093,0.839,0,0,1851,0,1997,9,939,4095,5,0.890,2897,0,291.135,8.602,-26.900,-289.020,-22.440,-0.736,0.173,1.839,2.740,8.154,6.302,0.142,0.122,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2911,13583,0,6841567.087,0.531,0.066,0.099,0.839,0,0,1774,0,1977,5,909,4095,5,0.890,2897,0,312.070,10.238,-31.920,-309.900,-18.180,-0.817,0.013,2.119,3.584,9.590,6.590,0.150,0.134,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2911,13583,0,6841572.087,0.528,0.079,0.107,0.839,0,0,1691,0,1919,0,883,4095,5,0.890,2897,0,337.653,12.478,-15.320,-336.520,-23.000,-0.775,-0.423,2.382,3.584,11.952,8.640,0.160,0.148,1.046,1.032,3,2,0,3,7,255,971,250,0,0
