condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,351,351,0,2017448.829,-0.979,0.021,0.081,-0.187,3357,439,1635,3255,937,1831,544,1549,22,0.000,20,1,0.180,0.017,-0.020,0.080,0.160,-0.166,0.012,0.988,0.016,-0.006,-0.002,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,348,1020
stim,367,367,0,2017453.829,-0.979,0.021,0.081,-0.187,3342,443,1629,3285,943,1835,547,1551,22,0.000,20,1,0.092,0.013,-0.020,0.080,0.040,-0.168,0.012,0.988,0.010,0.008,-0.004,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,353,1020
stim,367,367,0,2017458.829,-0.979,0.021,0.081,-0.187,3351,442,1637,3273,953,1833,544,1548,22,0.000,20,1,0.166,0.021,0.040,0.080,-0.140,-0.167,0.013,0.988,0.006,0.020,-0.004,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,358,1020
stim,367,367,0,2017463.829,-0.979,0.021,0.081,-0.187,3356,444,1639,3261,953,1830,542,1557,22,0.000,20,1,0.120,0.020,0.040,0.080,-0.080,-0.167,0.010,0.989,0.000,0.020,-0.002,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,363,1020
stim,367,367,0,2017468.829,-0.979,0.021,0.081,-0.187,3339,437,1624,3251,947,1819,539,1543,22,0.000,20,1,0.198,0.006,0.180,0.080,-0.020,-0.167,0.009,0.990,0.000,-0.006,0.002,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,368,1020
stim,367,367,0,2017473.829,-0.979,0.021,0.081,-0.187,3361,442,1635,3271,951,1836,544,1553,22,0.000,20,1,0.120,0.018,0.040,0.080,-0.080,-0.166,0.009,0.989,0.000,-0.018,0.004,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,373,1020
stim,367,367,0,2017478.829,-0.979,0.021,0.081,-0.187,3353,441,1639,3269,959,1835,547,1556,22,0.000,20,1,0.166,0.019,0.040,0.140,-0.080,-0.166,0.007,0.988,-0.006,-0.018,0.004,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,378,1020
stim,383,383,0,2017483.829,-0.979,0.021,0.081,-0.187,3356,437,1633,3271,959,1835,549,1557,22,0.000,20,1,0.201,0.024,0.180,0.080,0.040,-0.166,0.008,0.988,-0.004,-0.024,-0.008,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,383,1020
stim,383,383,0,2017488.829,-0.979,0.021,0.081,-0.187,3365,445,1624,3282,953,1822,540,1545,22,0.000,20,1,0.254,0.025,0.240,0.080,-0.020,-0.168,0.010,0.988,-0.006,-0.024,-0.008,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,388,1020
stim,399,399,0,2017493.829,-0.979,0.021,0.081,-0.187,3363,445,1637,3271,957,1832,547,1551,22,0.000,20,1,0.289,0.008,0.240,0.080,-0.140,-0.167,0.010,0.988,-0.006,-0.006,-0.006,0.000,0.000,0.000,0.001,2,2,0,1,7,255,1020,250,393,1020
